"pcon_code","pcon_name","new_la_code","la_name","first_available_year_included","most_recent_year_included"
"E14000859","North West Norfolk","E10000020","Norfolk","2017","2023"
"E14000820","Middlesbrough South and East Cleveland","E06000003","Redcar and Cleveland","2017","2023"
"E14000891","Redcar","E06000003","Redcar and Cleveland","2017","2023"
"E14000846","North East Somerset","E06000022","Bath and North East Somerset","2017","2023"
"E14000881","Poole","E06000058","Bournemouth, Christchurch and Poole","2019","2023"
"E14000584","Bournemouth East","E06000058","Bournemouth, Christchurch and Poole","2019","2023"
"E14000585","Bournemouth West","E06000058","Bournemouth, Christchurch and Poole","2019","2023"
"E14000839","North Dorset","E06000059","Dorset","2019","2023"
"E14001031","West Dorset","E06000059","Dorset","2019","2023"
"E14000936","South Dorset","E06000059","Dorset","2019","2023"
"E14000638","Christchurch","E06000059","Dorset","2019","2023"
"E14000815","Mid Dorset and North Poole","E06000059","Dorset","2019","2023"
"E14001042","Windsor","E06000040","Windsor and Maidenhead","2017","2023"
"E14000803","Maidenhead","E06000040","Windsor and Maidenhead","2017","2023"
"E14000680","East Hampshire","E10000014","Hampshire","2017","2023"
"E14000909","Rutland and Melton","E06000017","Rutland","2017","2023"
"E14000815","Mid Dorset and North Poole","E06000058","Bournemouth, Christchurch and Poole","2019","2023"
"E14000613","Bury St Edmunds","E10000029","Suffolk","2017","2023"
"E14001022","Waveney","E10000029","Suffolk","2017","2023"
"E14000981","Suffolk Coastal","E10000029","Suffolk","2017","2023"
"E14001034","West Suffolk","E10000029","Suffolk","2017","2023"
"E14000733","Hartlepool","E06000001","Hartlepool","2017","2023"
"E14000545","Basingstoke","E10000014","Hampshire","2017","2023"
"E14000873","Oxford East","E10000025","Oxfordshire","2017","2023"
"E14001056","Wycombe","E06000060","Buckinghamshire","2020","2023"
"E14000631","Chesham and Amersham","E06000060","Buckinghamshire","2020","2023"
"E14000538","Aylesbury","E06000060","Buckinghamshire","2020","2023"
"E14000608","Buckingham","E06000060","Buckinghamshire","2020","2023"
"E14000550","Beaconsfield","E06000060","Buckinghamshire","2020","2023"
"E14000617","Cambridge","E10000003","Cambridgeshire","2017","2023"
"E14000904","Rotherham","E11000003","South Yorkshire","2017","2023"
"E14000903","Rother Valley","E11000003","South Yorkshire","2017","2023"
"E14001054","Worsley and Eccles South","E11000001","Greater Manchester","2017","2023"
"E14000911","Salford and Eccles","E11000001","Greater Manchester","2017","2023"
"E14000637","Chorley","E10000017","Lancashire","2017","2023"
"E14000670","Dover","E10000016","Kent","2017","2023"
"E14000893","Reigate","E10000030","Surrey","2017","2023"
"E14000694","Epsom and Ewell","E10000030","Surrey","2017","2023"
"E14000652","Crawley","E10000032","West Sussex","2017","2023"
"E14000837","North Cornwall","E06000052","Cornwall","2017","2023"
"E14000938","South East Cornwall","E06000052","Cornwall","2017","2023"
"E14000616","Camborne and Redruth","E06000052","Cornwall","2017","2023"
"E14000961","St Austell and Newquay","E06000052","Cornwall","2017","2023"
"E14001003","Truro and Falmouth","E06000052","Cornwall","2017","2023"
"E14000762","Isle of Wight","E06000046","Isle of Wight","2017","2023"
"E14000648","Corby","E06000061","North Northamptonshire","2022","2023"
"E14001024","Weaver Vale","E06000006","Halton","2017","2023"
"E14000942","South Northamptonshire","E06000062","West Northamptonshire","2022","2023"
"E14000954","South West Wiltshire","E06000054","Wiltshire","2017","2023"
"E14000665","Devizes","E06000054","Wiltshire","2017","2023"
"E14000725","Halton","E06000006","Halton","2017","2023"
"E14000861","Northampton North","E06000062","West Northamptonshire","2022","2023"
